Timestamp_Seconds,Multimeter_Temp,Micro_Temp,Difference,Status
0.0,130.0,17.0,113.0,Preheat
0.2,130.0,18.7,111.3,Preheat
0.0,130.0,18.7,111.3,Preheat
0.2,130.0,17.8,112.2,Preheat
0.5,130.0,17.6,112.4,Preheat
0.8,130.0,18.7,111.3,Preheat
1.0,130.0,17.8,112.2,Preheat
1.2,130.0,18.7,111.3,Preheat
1.5,130.0,17.8,112.2,Preheat
1.8,130.0,18.7,111.3,Preheat
2.0,130.0,18.8,111.2,Preheat
2.2,130.0,17.7,112.3,Preheat
2.5,130.0,18.8,111.2,Preheat
2.8,130.0,17.7,112.3,Preheat
3.0,130.0,18.7,111.3,Preheat
3.2,130.0,18.7,111.3,Preheat
3.5,130.0,18.8,111.2,Preheat
3.8,130.0,17.8,112.2,Preheat
4.0,130.0,18.8,111.2,Preheat
4.2,130.0,17.7,112.3,Preheat
4.5,130.0,18.7,111.3,Preheat
4.8,130.0,18.8,111.2,Preheat
5.0,130.0,17.7,112.3,Preheat
5.2,130.0,18.8,111.2,Preheat
5.5,130.0,17.7,112.3,Preheat
5.8,130.0,18.8,111.2,Preheat
6.0,130.0,17.8,112.2,Preheat
6.2,130.0,18.8,111.2,Preheat
6.5,130.0,17.8,112.2,Preheat
6.8,130.0,18.8,111.2,Preheat
7.0,130.0,17.8,112.2,Preheat
7.2,130.0,18.8,111.2,Preheat
7.5,130.0,17.8,112.2,Preheat
7.8,130.0,17.9,112.1,Preheat
8.0,130.0,18.9,111.1,Preheat
8.2,130.0,17.9,112.1,Preheat
8.5,130.0,17.9,112.1,Preheat
8.8,130.0,19.0,111.0,Preheat
9.0,130.0,17.9,112.1,Preheat
9.2,130.0,18.9,111.1,Preheat
9.5,130.0,19.0,111.0,Preheat
9.8,130.0,19.0,111.0,Preheat
10.0,130.0,17.9,112.1,Preheat
10.2,130.0,19.8,110.2,Preheat
10.5,130.0,19.0,111.0,Preheat
10.8,130.0,19.0,111.0,Preheat
11.0,130.0,19.0,111.0,Preheat
11.2,130.0,21.4,108.6,Preheat
11.5,130.0,19.2,110.8,Preheat
11.8,130.0,19.1,110.9,Preheat
12.0,130.0,19.7,110.3,Preheat
12.2,130.0,19.6,110.4,Preheat
12.5,130.0,19.8,110.2,Preheat
12.8,130.0,18.9,111.1,Preheat
13.0,130.0,18.8,111.2,Preheat
13.2,130.0,20.0,110.0,Preheat
13.5,130.0,19.7,110.3,Preheat
13.8,130.0,21.4,108.6,Preheat
14.0,130.0,20.7,109.3,Preheat
14.2,130.0,21.0,109.0,Preheat
14.5,130.0,22.0,108.0,Preheat
14.8,130.0,20.4,109.6,Preheat
15.0,130.0,21.4,108.6,Preheat
15.2,130.0,22.5,107.5,Preheat
15.5,130.0,22.5,107.5,Preheat
15.8,130.0,21.3,108.7,Preheat
16.0,130.0,22.5,107.5,Preheat
16.2,130.0,21.9,108.1,Preheat
16.5,130.0,23.2,106.8,Preheat
16.8,130.0,23.6,106.4,Preheat
17.0,130.0,23.6,106.4,Preheat
17.2,130.0,22.5,107.5,Preheat
17.5,130.0,24.8,105.2,Preheat
17.8,130.0,24.7,105.3,Preheat
18.0,130.0,24.9,105.1,Preheat
18.2,130.0,24.9,105.1,Preheat
18.5,130.0,23.8,106.2,Preheat
18.8,130.0,25.3,104.7,Preheat
19.0,130.0,25.2,104.8,Preheat
19.2,130.0,24.3,105.7,Preheat
19.5,130.0,26.4,103.6,Preheat
19.8,130.0,25.4,104.6,Preheat
20.0,130.0,26.3,103.7,Preheat
20.2,130.0,25.1,104.9,Preheat
20.5,130.0,27.1,102.9,Preheat
20.8,130.0,27.6,102.4,Preheat
